saldo_cuenta,meses,historia_crediticia,uso,cantidad,saldo_cuenta_ahorro,años_trabajando,tasa_de_interes,genero_estado_civil,aval,años_actual_domicilio,activos,edad,planes_de_pago,casa,numero_creditos,situacion_laboral,dependientes_economicos,telefono,extranjero,credito_pagado
sin_cuenta,24,no_ha_pagado,TV,2424,,mas_de_7,4,hombre_soltero,,4,seguro_vida,53,,propia,2,gobierno,1,0,1,1
menor_a_cero,30,sin_creditos,poner_negocio,8072,,menor_a_1,2,hombre_soltero,,3,otro_tipo,25,bancario,propia,3,gobierno,1,0,1,1
cero_a_200,24,pago_algun_credito,coche_usado,12579,menor_100,mas_de_7,4,mujer_no_soltera,,2,sin_activos,44,,prestada,1,administrativo,1,1,1,0
sin_cuenta,24,pago_algun_credito,TV,3430,500_a_1000,mas_de_7,3,hombre_soltero,,2,otro_tipo,31,,propia,1,gobierno,2,1,1,1
sin_cuenta,9,no_ha_pagado,coche_nuevo,2134,menor_100,1_a_4,4,hombre_soltero,,4,otro_tipo,48,,propia,3,gobierno,1,1,1,1
menor_a_cero,6,pago_algun_credito,TV,2647,500_a_1000,1_a_4,2,hombre_soltero,,3,bienes_raices,44,,renta,1,gobierno,2,0,1,1
menor_a_cero,10,no_ha_pagado,coche_nuevo,2241,menor_100,menor_a_1,1,hombre_soltero,,3,bienes_raices,48,,renta,2,obrero,2,0,0,1
cero_a_200,12,no_ha_pagado,coche_usado,1804,100_a_500,menor_a_1,3,hombre_soltero,,4,seguro_vida,44,,propia,1,gobierno,1,0,1,1
sin_cuenta,10,no_ha_pagado,mobiliario,2069,,1_a_4,2,hombre_divorciado,,1,otro_tipo,26,,propia,2,gobierno,1,0,0,1
menor_a_cero,6,pago_algun_credito,mobiliario,1374,menor_100,1_a_4,1,hombre_soltero,,2,bienes_raices,36,bancario,propia,1,obrero,1,1,1,1
sin_cuenta,6,sin_creditos,TV,426,menor_100,mas_de_7,4,hombre_divorciado,,4,otro_tipo,39,,propia,1,obrero,1,0,1,1
mas_de_200,12,pago_todos,TV,409,mas_de_1000,1_a_4,3,mujer_no_soltera,,3,bienes_raices,42,,renta,2,gobierno,1,0,1,1
cero_a_200,7,pago_algun_credito,TV,2415,menor_100,1_a_4,3,hombre_soltero,aval,2,bienes_raices,34,,propia,1,gobierno,1,0,1,1
menor_a_cero,60,pago_retrasado,poner_negocio,6836,menor_100,mas_de_7,3,hombre_soltero,,4,sin_activos,63,,propia,2,gobierno,1,1,1,0
cero_a_200,18,pago_algun_credito,poner_negocio,1913,mas_de_1000,menor_a_1,3,hombre_divorciado,,3,bienes_raices,36,bancario,propia,1,gobierno,1,1,1,1
menor_a_cero,24,pago_algun_credito,mobiliario,4020,menor_100,1_a_4,2,hombre_soltero,,2,otro_tipo,27,departamental,propia,1,gobierno,1,0,1,1
cero_a_200,18,pago_algun_credito,coche_nuevo,5866,100_a_500,1_a_4,2,hombre_soltero,,2,otro_tipo,30,,propia,2,gobierno,1,1,1,1
sin_cuenta,12,no_ha_pagado,poner_negocio,1264,,mas_de_7,4,hombre_soltero,,4,sin_activos,57,,renta,1,obrero,1,0,1,1
mas_de_200,12,pago_algun_credito,mobiliario,1474,menor_100,menor_a_1,4,mujer_no_soltera,,1,seguro_vida,33,bancario,propia,1,administrativo,1,1,1,1
cero_a_200,45,no_ha_pagado,TV,4746,menor_100,menor_a_1,4,hombre_soltero,,2,seguro_vida,25,,propia,2,obrero,1,0,1,0
sin_cuenta,48,no_ha_pagado,colegiaturas,6110,menor_100,1_a_4,1,hombre_soltero,,3,sin_activos,31,bancario,prestada,1,gobierno,1,1,1,1
mas_de_200,18,pago_algun_credito,TV,2100,menor_100,1_a_4,4,hombre_soltero,,2,bienes_raices,37,departamental,propia,1,gobierno,1,0,1,0
mas_de_200,10,pago_algun_credito,utensilios_hogar,1225,menor_100,1_a_4,2,hombre_soltero,,2,otro_tipo,37,,propia,1,gobierno,1,1,1,1
cero_a_200,9,pago_algun_credito,TV,458,menor_100,1_a_4,4,hombre_soltero,,3,bienes_raices,24,,propia,1,gobierno,1,0,1,1
sin_cuenta,30,pago_algun_credito,TV,2333,500_a_1000,mas_de_7,4,hombre_soltero,,2,otro_tipo,30,bancario,propia,1,administrativo,1,0,1,1
cero_a_200,12,pago_algun_credito,TV,1158,500_a_1000,1_a_4,3,hombre_divorciado,,1,otro_tipo,26,,propia,1,gobierno,1,1,1,1
cero_a_200,18,pago_retrasado,reparaciones,6204,menor_100,1_a_4,2,hombre_soltero,,4,bienes_raices,44,,propia,1,obrero,2,1,1,1
menor_a_cero,30,no_ha_pagado,coche_usado,6187,100_a_500,4_a_7,1,hombre_divorciado,,4,otro_tipo,24,,renta,2,gobierno,1,0,1,1
menor_a_cero,48,no_ha_pagado,coche_usado,6143,menor_100,mas_de_7,4,mujer_no_soltera,,4,sin_activos,58,departamental,prestada,2,obrero,1,0,1,0
sin_cuenta,11,no_ha_pagado,coche_nuevo,1393,menor_100,menor_a_1,4,mujer_no_soltera,,4,otro_tipo,35,,propia,2,administrativo,1,0,1,1
sin_cuenta,36,pago_algun_credito,TV,2299,500_a_1000,mas_de_7,4,hombre_soltero,,4,otro_tipo,39,,propia,1,gobierno,1,0,1,1
menor_a_cero,6,pago_algun_credito,coche_usado,1352,500_a_1000,desempleado,1,mujer_no_soltera,,2,seguro_vida,23,,renta,1,desempleado,1,1,1,1
sin_cuenta,11,no_ha_pagado,coche_nuevo,7228,menor_100,1_a_4,1,hombre_soltero,,4,seguro_vida,39,,propia,2,obrero,1,0,1,1
sin_cuenta,12,pago_algun_credito,TV,2073,100_a_500,1_a_4,4,mujer_no_soltera,,2,bienes_raices,28,,propia,1,gobierno,1,0,1,1
cero_a_200,24,pago_retrasado,mobiliario,2333,,menor_a_1,4,hombre_soltero,,2,seguro_vida,29,bancario,propia,1,obrero,1,0,1,1
cero_a_200,27,pago_retrasado,coche_usado,5965,menor_100,mas_de_7,1,hombre_soltero,,2,otro_tipo,30,,propia,2,administrativo,1,1,1,1
sin_cuenta,12,pago_algun_credito,TV,1262,menor_100,1_a_4,3,hombre_soltero,,2,otro_tipo,25,,propia,1,gobierno,1,0,1,1
sin_cuenta,18,pago_algun_credito,coche_usado,3378,,1_a_4,2,hombre_soltero,,1,seguro_vida,31,,propia,1,gobierno,1,1,1,1
cero_a_200,36,pago_retrasado,coche_nuevo,2225,menor_100,mas_de_7,4,hombre_soltero,,4,sin_activos,57,bancario,prestada,2,gobierno,1,1,1,0
sin_cuenta,6,pago_todos,coche_nuevo,783,,1_a_4,1,hombre_soltero,aval,2,bienes_raices,26,departamental,propia,1,obrero,2,0,1,1
cero_a_200,12,pago_algun_credito,TV,6468,,desempleado,2,hombre_soltero,,1,sin_activos,52,,propia,1,administrativo,1,1,1,0
sin_cuenta,36,no_ha_pagado,TV,9566,menor_100,1_a_4,2,mujer_no_soltera,,2,otro_tipo,31,departamental,propia,2,gobierno,1,0,1,1
mas_de_200,18,pago_algun_credito,coche_nuevo,1961,menor_100,mas_de_7,3,mujer_no_soltera,,2,otro_tipo,23,,propia,1,administrativo,1,0,1,1
menor_a_cero,36,no_ha_pagado,mobiliario,6229,menor_100,menor_a_1,4,mujer_no_soltera,,4,sin_activos,23,,renta,2,obrero,1,1,1,0
cero_a_200,9,pago_algun_credito,poner_negocio,1391,menor_100,1_a_4,2,hombre_divorciado,,1,bienes_raices,27,bancario,propia,1,gobierno,1,1,1,1
cero_a_200,15,no_ha_pagado,TV,1537,,mas_de_7,4,hombre_soltero,aval,4,bienes_raices,50,,propia,2,gobierno,1,1,1,1
cero_a_200,36,sin_creditos,poner_negocio,1953,menor_100,mas_de_7,4,hombre_soltero,,4,sin_activos,61,,prestada,1,administrativo,1,1,1,0
cero_a_200,48,sin_creditos,poner_negocio,14421,menor_100,1_a_4,2,hombre_soltero,,2,otro_tipo,25,,propia,1,gobierno,1,1,1,0
sin_cuenta,24,pago_algun_credito,TV,3181,menor_100,menor_a_1,4,mujer_no_soltera,,4,seguro_vida,26,,propia,1,gobierno,1,1,1,1
sin_cuenta,27,pago_algun_credito,reparaciones,5190,,mas_de_7,4,hombre_soltero,,4,seguro_vida,48,,propia,4,gobierno,2,1,1,1
sin_cuenta,12,pago_algun_credito,TV,2171,menor_100,menor_a_1,2,mujer_no_soltera,,2,otro_tipo,29,bancario,propia,1,gobierno,1,0,1,1
cero_a_200,12,pago_algun_credito,coche_nuevo,1007,mas_de_1000,1_a_4,4,hombre_divorciado,,1,bienes_raices,22,,propia,1,gobierno,1,0,1,1
sin_cuenta,36,pago_algun_credito,colegiaturas,1819,menor_100,1_a_4,4,hombre_soltero,,4,sin_activos,37,departamental,prestada,1,gobierno,1,1,1,0
sin_cuenta,36,pago_algun_credito,TV,2394,,1_a_4,4,mujer_no_soltera,,4,otro_tipo,25,,propia,1,gobierno,1,0,1,1
sin_cuenta,36,pago_algun_credito,coche_usado,8133,menor_100,1_a_4,1,mujer_no_soltera,,2,seguro_vida,30,bancario,propia,1,gobierno,1,0,1,1
sin_cuenta,7,no_ha_pagado,TV,730,,mas_de_7,4,hombre_soltero,,2,seguro_vida,46,,renta,2,obrero,1,1,1,1
menor_a_cero,8,no_ha_pagado,otros,1164,menor_100,mas_de_7,3,hombre_soltero,,4,sin_activos,51,bancario,prestada,2,administrativo,2,1,1,1
cero_a_200,42,no_ha_pagado,poner_negocio,5954,menor_100,4_a_7,2,mujer_no_soltera,,1,bienes_raices,41,bancario,propia,2,obrero,1,0,1,1
menor_a_cero,36,pago_algun_credito,colegiaturas,1977,,mas_de_7,4,hombre_soltero,,4,sin_activos,40,,propia,1,administrativo,1,1,1,0
menor_a_cero,12,no_ha_pagado,coche_usado,1526,menor_100,mas_de_7,4,hombre_soltero,,4,sin_activos,66,,prestada,2,administrativo,1,0,1,1
menor_a_cero,42,pago_algun_credito,TV,3965,menor_100,menor_a_1,4,hombre_soltero,,3,otro_tipo,34,,propia,1,gobierno,1,0,1,0
cero_a_200,11,pago_retrasado,TV,4771,menor_100,4_a_7,2,hombre_soltero,,4,seguro_vida,51,,propia,1,gobierno,1,0,1,1
sin_cuenta,54,sin_creditos,coche_usado,9436,,1_a_4,2,hombre_soltero,,2,seguro_vida,39,,propia,1,obrero,2,0,1,1
cero_a_200,30,pago_algun_credito,mobiliario,3832,menor_100,menor_a_1,2,hombre_divorciado,,1,seguro_vida,22,,propia,1,gobierno,1,0,1,1
sin_cuenta,24,pago_algun_credito,TV,5943,,menor_a_1,1,mujer_no_soltera,,1,otro_tipo,44,,propia,2,gobierno,1,1,1,0
sin_cuenta,15,pago_algun_credito,TV,1213,500_a_1000,mas_de_7,4,hombre_soltero,,3,seguro_vida,47,departamental,propia,1,gobierno,1,1,1,1
sin_cuenta,18,pago_algun_credito,poner_negocio,1568,100_a_500,1_a_4,3,mujer_no_soltera,,4,seguro_vida,24,,renta,1,obrero,1,0,1,1
menor_a_cero,24,pago_algun_credito,otros,1755,menor_100,mas_de_7,4,mujer_no_soltera,aval,4,bienes_raices,58,,propia,1,obrero,1,1,1,1
menor_a_cero,10,pago_algun_credito,TV,2315,menor_100,mas_de_7,3,hombre_soltero,,4,bienes_raices,52,,propia,1,obrero,1,0,1,1
sin_cuenta,12,no_ha_pagado,poner_negocio,1412,menor_100,1_a_4,4,mujer_no_soltera,aval,2,bienes_raices,29,,propia,2,administrativo,1,1,1,1
cero_a_200,18,no_ha_pagado,mobiliario,1295,menor_100,menor_a_1,4,mujer_no_soltera,,1,seguro_vida,27,,propia,2,gobierno,1,0,1,1
cero_a_200,36,pago_algun_credito,colegiaturas,12612,100_a_500,1_a_4,1,hombre_soltero,,4,sin_activos,47,,prestada,1,gobierno,2,1,1,0
menor_a_cero,18,pago_algun_credito,coche_nuevo,2249,100_a_500,4_a_7,4,hombre_soltero,,3,otro_tipo,30,,propia,1,administrativo,2,1,1,1
menor_a_cero,12,sin_creditos,reparaciones,1108,menor_100,4_a_7,4,hombre_soltero,,3,bienes_raices,28,,propia,2,gobierno,1,0,1,0
sin_cuenta,12,no_ha_pagado,TV,618,menor_100,mas_de_7,4,hombre_soltero,,4,bienes_raices,56,,propia,1,gobierno,1,0,1,1
menor_a_cero,12,no_ha_pagado,coche_usado,1409,menor_100,mas_de_7,4,hombre_soltero,,3,bienes_raices,54,,propia,1,gobierno,1,0,1,1
sin_cuenta,12,no_ha_pagado,TV,797,,mas_de_7,4,mujer_no_soltera,,3,seguro_vida,33,bancario,propia,1,obrero,2,0,1,0
mas_de_200,24,no_ha_pagado,mobiliario,3617,,mas_de_7,4,hombre_soltero,,4,sin_activos,20,,renta,2,gobierno,1,0,1,1
cero_a_200,12,pago_algun_credito,coche_nuevo,1318,mas_de_1000,mas_de_7,4,hombre_soltero,,4,bienes_raices,54,,propia,1,gobierno,1,1,1,1
cero_a_200,54,sin_creditos,poner_negocio,15945,menor_100,menor_a_1,3,hombre_soltero,,4,sin_activos,58,,renta,1,gobierno,1,1,1,0
sin_cuenta,12,no_ha_pagado,colegiaturas,2012,,4_a_7,4,mujer_no_soltera,,2,otro_tipo,61,,propia,1,gobierno,1,0,1,1
cero_a_200,18,pago_algun_credito,poner_negocio,2622,100_a_500,1_a_4,4,hombre_soltero,,4,otro_tipo,34,,propia,1,gobierno,1,0,1,1
cero_a_200,36,no_ha_pagado,TV,2337,menor_100,mas_de_7,4,hombre_soltero,,4,bienes_raices,36,,propia,1,gobierno,1,0,1,1
cero_a_200,20,pago_retrasado,coche_usado,7057,,4_a_7,3,hombre_soltero,,4,seguro_vida,36,bancario,renta,2,administrativo,2,1,1,1
sin_cuenta,24,pago_algun_credito,coche_nuevo,1469,100_a_500,mas_de_7,4,hombre_divorciado,,4,bienes_raices,41,,renta,1,obrero,1,0,1,1
cero_a_200,36,pago_algun_credito,TV,2323,menor_100,4_a_7,4,hombre_soltero,,4,otro_tipo,24,,renta,1,gobierno,1,0,1,1
sin_cuenta,6,pago_retrasado,TV,932,menor_100,1_a_4,3,mujer_no_soltera,,2,bienes_raices,24,,propia,1,gobierno,1,0,1,1
cero_a_200,9,no_ha_pagado,mobiliario,1919,menor_100,4_a_7,4,hombre_soltero,,3,otro_tipo,35,,renta,1,gobierno,1,1,1,1
sin_cuenta,12,pago_algun_credito,coche_usado,2445,,menor_a_1,2,hombre_divorciado,,4,otro_tipo,26,,renta,1,gobierno,1,1,1,1
cero_a_200,24,no_ha_pagado,otros,11938,menor_100,1_a_4,2,hombre_soltero,,3,otro_tipo,39,,propia,2,administrativo,2,1,1,0
sin_cuenta,18,pago_todos,coche_nuevo,6458,menor_100,mas_de_7,2,hombre_soltero,,4,sin_activos,39,bancario,propia,2,administrativo,2,1,1,0
cero_a_200,12,pago_algun_credito,coche_nuevo,6078,menor_100,4_a_7,2,hombre_soltero,,2,otro_tipo,32,,propia,1,gobierno,1,0,1,1
menor_a_cero,24,pago_algun_credito,mobiliario,7721,,menor_a_1,1,mujer_no_soltera,,2,seguro_vida,30,,propia,1,gobierno,1,1,0,1
cero_a_200,14,pago_algun_credito,poner_negocio,1410,500_a_1000,mas_de_7,1,hombre_divorciado,,2,bienes_raices,35,,propia,1,gobierno,1,1,1,1
cero_a_200,6,pago_retrasado,poner_negocio,1449,100_a_500,mas_de_7,1,hombre_divorciado,,2,otro_tipo,31,bancario,propia,2,gobierno,2,0,1,1
mas_de_200,15,pago_algun_credito,colegiaturas,392,menor_100,menor_a_1,4,mujer_no_soltera,,4,seguro_vida,23,,renta,1,gobierno,1,1,1,1
cero_a_200,18,pago_algun_credito,coche_nuevo,6260,menor_100,4_a_7,3,hombre_soltero,,3,bienes_raices,28,,renta,1,obrero,1,0,1,1
sin_cuenta,36,no_ha_pagado,coche_nuevo,7855,menor_100,1_a_4,4,mujer_no_soltera,,2,bienes_raices,25,departamental,propia,2,gobierno,1,1,1,0
menor_a_cero,12,pago_algun_credito,TV,1680,500_a_1000,mas_de_7,3,hombre_divorciado,,1,bienes_raices,35,,propia,1,gobierno,1,0,1,1
sin_cuenta,48,no_ha_pagado,TV,3578,,mas_de_7,4,hombre_soltero,,1,bienes_raices,47,,propia,1,gobierno,1,1,1,1
menor_a_cero,42,pago_algun_credito,TV,7174,,4_a_7,4,mujer_no_soltera,,3,otro_tipo,30,,propia,1,administrativo,1,1,1,0
menor_a_cero,10,no_ha_pagado,mobiliario,2132,,menor_a_1,2,mujer_no_soltera,,3,bienes_raices,27,,renta,2,gobierno,1,0,0,1
menor_a_cero,33,no_ha_pagado,mobiliario,4281,500_a_1000,1_a_4,1,mujer_no_soltera,,4,otro_tipo,23,,propia,2,gobierno,1,0,1,0
cero_a_200,12,no_ha_pagado,coche_nuevo,2366,500_a_1000,4_a_7,3,hombre_divorciado,,3,otro_tipo,36,,propia,1,administrativo,1,1,1,1
menor_a_cero,21,pago_algun_credito,TV,1835,menor_100,1_a_4,3,mujer_no_soltera,,2,bienes_raices,25,,propia,2,gobierno,1,1,1,0
sin_cuenta,24,no_ha_pagado,coche_usado,3868,menor_100,mas_de_7,4,mujer_no_soltera,,2,otro_tipo,41,,renta,2,administrativo,1,1,1,1
sin_cuenta,12,pago_algun_credito,mobiliario,1768,menor_100,1_a_4,3,hombre_soltero,,2,bienes_raices,24,,renta,1,obrero,1,0,1,1
mas_de_200,10,no_ha_pagado,coche_nuevo,781,menor_100,mas_de_7,4,hombre_soltero,,4,sin_activos,63,,prestada,2,gobierno,1,1,1,1
cero_a_200,18,pago_algun_credito,mobiliario,1924,,menor_a_1,4,mujer_no_soltera,,3,bienes_raices,27,,renta,1,gobierno,1,0,1,0
menor_a_cero,12,no_ha_pagado,coche_nuevo,2121,menor_100,1_a_4,4,hombre_soltero,,2,seguro_vida,30,,propia,2,gobierno,1,0,1,1
menor_a_cero,12,pago_algun_credito,TV,701,menor_100,1_a_4,4,hombre_divorciado,,2,bienes_raices,40,,propia,1,obrero,1,0,1,1
cero_a_200,12,pago_algun_credito,reparaciones,639,menor_100,1_a_4,4,hombre_soltero,,2,otro_tipo,30,,propia,1,gobierno,1,0,1,0
cero_a_200,12,no_ha_pagado,coche_usado,1860,menor_100,desempleado,4,hombre_soltero,,2,otro_tipo,34,,propia,2,administrativo,1,1,1,1
menor_a_cero,12,no_ha_pagado,coche_nuevo,3499,menor_100,1_a_4,3,mujer_no_soltera,,2,bienes_raices,29,,propia,2,gobierno,1,0,1,0
cero_a_200,48,pago_algun_credito,coche_nuevo,8487,,4_a_7,1,mujer_no_soltera,,2,otro_tipo,24,,propia,1,gobierno,1,0,1,1
menor_a_cero,36,pago_retrasado,colegiaturas,6887,menor_100,1_a_4,4,hombre_soltero,,3,seguro_vida,29,departamental,propia,1,gobierno,1,1,1,0
sin_cuenta,15,pago_algun_credito,mobiliario,2708,menor_100,menor_a_1,2,hombre_soltero,,3,seguro_vida,27,bancario,propia,2,obrero,1,0,1,1
sin_cuenta,18,pago_algun_credito,mobiliario,1984,menor_100,1_a_4,4,hombre_soltero,,4,sin_activos,47,bancario,prestada,2,gobierno,1,0,1,1
sin_cuenta,60,pago_algun_credito,TV,10144,100_a_500,4_a_7,2,mujer_no_soltera,,4,bienes_raices,21,,propia,1,gobierno,1,1,1,1
sin_cuenta,12,no_ha_pagado,TV,1240,,mas_de_7,4,mujer_no_soltera,,2,bienes_raices,38,,propia,2,gobierno,1,1,1,1
sin_cuenta,27,pago_retrasado,coche_usado,8613,mas_de_1000,1_a_4,2,hombre_soltero,,2,otro_tipo,27,,propia,2,gobierno,1,0,1,1
cero_a_200,12,pago_algun_credito,TV,766,500_a_1000,1_a_4,4,hombre_soltero,,3,bienes_raices,66,,propia,1,obrero,1,0,1,0
cero_a_200,15,no_ha_pagado,TV,2728,,4_a_7,4,hombre_soltero,aval,2,bienes_raices,35,bancario,propia,3,gobierno,1,1,1,1
mas_de_200,12,pago_algun_credito,TV,1881,menor_100,1_a_4,2,mujer_no_soltera,,2,otro_tipo,44,,renta,1,obrero,1,1,1,1
mas_de_200,6,pago_algun_credito,coche_nuevo,709,mas_de_1000,menor_a_1,2,hombre_divorciado,,2,bienes_raices,27,,propia,1,desempleado,1,0,0,1
cero_a_200,36,pago_algun_credito,TV,4795,menor_100,menor_a_1,4,mujer_no_soltera,,1,sin_activos,30,,propia,1,administrativo,1,1,1,1
menor_a_cero,27,pago_algun_credito,TV,3416,menor_100,1_a_4,3,hombre_soltero,,2,otro_tipo,27,,propia,1,administrativo,1,0,1,1
menor_a_cero,18,pago_algun_credito,mobiliario,2462,menor_100,1_a_4,2,hombre_soltero,,2,otro_tipo,22,,propia,1,gobierno,1,0,1,0
sin_cuenta,21,no_ha_pagado,mobiliario,2288,menor_100,menor_a_1,4,mujer_no_soltera,,4,seguro_vida,23,,propia,1,gobierno,1,1,1,1
cero_a_200,48,pago_todos,poner_negocio,3566,100_a_500,4_a_7,4,hombre_soltero,,2,otro_tipo,30,,propia,1,gobierno,1,0,1,1
menor_a_cero,6,no_ha_pagado,coche_nuevo,860,menor_100,mas_de_7,1,mujer_no_soltera,,4,sin_activos,39,,propia,2,gobierno,1,1,1,1
sin_cuenta,12,no_ha_pagado,coche_nuevo,682,100_a_500,4_a_7,4,mujer_no_soltera,,3,otro_tipo,51,,propia,2,gobierno,1,1,1,1
menor_a_cero,36,no_ha_pagado,mobiliario,5371,menor_100,1_a_4,3,hombre_soltero,aval,2,seguro_vida,28,,propia,2,gobierno,1,0,1,1
sin_cuenta,18,no_ha_pagado,TV,1582,mas_de_1000,mas_de_7,4,hombre_soltero,,4,otro_tipo,46,,propia,2,gobierno,1,0,1,1
sin_cuenta,6,pago_algun_credito,TV,1346,100_a_500,mas_de_7,2,hombre_soltero,,4,sin_activos,42,bancario,prestada,1,gobierno,2,1,1,1
sin_cuenta,10,pago_algun_credito,TV,1924,menor_100,1_a_4,1,hombre_soltero,,4,seguro_vida,38,,propia,1,gobierno,1,1,0,1
mas_de_200,36,pago_algun_credito,TV,5848,menor_100,1_a_4,4,hombre_soltero,,1,otro_tipo,24,,propia,1,gobierno,1,0,1,1
cero_a_200,24,no_ha_pagado,coche_usado,7758,mas_de_1000,mas_de_7,2,mujer_no_soltera,,4,sin_activos,29,,renta,1,gobierno,1,0,1,1
cero_a_200,24,pago_retrasado,poner_negocio,6967,100_a_500,4_a_7,4,hombre_soltero,,4,otro_tipo,36,,renta,1,administrativo,1,1,1,1
menor_a_cero,12,pago_algun_credito,mobiliario,1282,menor_100,1_a_4,2,mujer_no_soltera,,4,otro_tipo,20,,renta,1,gobierno,1,0,1,0
menor_a_cero,9,no_ha_pagado,reparaciones,1288,100_a_500,mas_de_7,3,hombre_soltero,aval,4,bienes_raices,48,,propia,2,gobierno,2,0,0,1
menor_a_cero,12,pago_todos,reestructuración,339,menor_100,mas_de_7,4,hombre_divorciado,,1,otro_tipo,45,bancario,propia,1,obrero,1,0,1,1
cero_a_200,24,pago_algun_credito,coche_nuevo,3512,100_a_500,4_a_7,2,hombre_soltero,,3,otro_tipo,38,bancario,propia,2,gobierno,1,1,1,1
sin_cuenta,6,no_ha_pagado,TV,1898,,1_a_4,1,hombre_soltero,,2,bienes_raices,34,,propia,2,obrero,2,0,1,1
sin_cuenta,24,no_ha_pagado,TV,2872,100_a_500,mas_de_7,3,hombre_soltero,,4,bienes_raices,36,,propia,1,gobierno,2,1,1,1
sin_cuenta,18,no_ha_pagado,coche_nuevo,1055,menor_100,menor_a_1,4,mujer_no_soltera,,1,seguro_vida,30,,propia,2,gobierno,1,0,1,1
sin_cuenta,15,pago_algun_credito,utensilios_hogar,1262,500_a_1000,4_a_7,4,hombre_soltero,,3,seguro_vida,36,,propia,2,gobierno,1,1,1,1
cero_a_200,10,pago_algun_credito,coche_nuevo,7308,menor_100,desempleado,2,hombre_soltero,,4,sin_activos,70,bancario,prestada,1,administrativo,1,1,1,1
sin_cuenta,36,pago_algun_credito,coche_nuevo,909,500_a_1000,mas_de_7,4,hombre_soltero,,4,seguro_vida,36,,propia,1,gobierno,1,0,1,1
sin_cuenta,6,pago_algun_credito,mobiliario,2978,500_a_1000,1_a_4,1,hombre_soltero,,2,otro_tipo,32,,propia,1,gobierno,1,1,1,1
menor_a_cero,18,pago_algun_credito,mobiliario,1131,menor_100,desempleado,4,mujer_no_soltera,,2,otro_tipo,33,,propia,1,gobierno,1,0,1,0
cero_a_200,11,pago_algun_credito,mobiliario,1577,mas_de_1000,menor_a_1,4,mujer_no_soltera,,1,bienes_raices,20,,propia,1,gobierno,1,0,1,1
sin_cuenta,24,pago_algun_credito,mobiliario,3972,menor_100,4_a_7,2,mujer_no_soltera,,4,seguro_vida,25,,renta,1,gobierno,1,1,1,1
cero_a_200,24,no_ha_pagado,poner_negocio,1935,menor_100,mas_de_7,4,hombre_divorciado,,4,bienes_raices,31,,propia,2,gobierno,1,1,1,0
menor_a_cero,15,sin_creditos,coche_nuevo,950,menor_100,mas_de_7,4,hombre_soltero,,3,otro_tipo,33,,renta,2,gobierno,2,0,1,0
