satisfaccion,evaluacion,proyectos,promedio_horas_mes,semestre,accidente,renunciar,ascenso_5years,departamento,salario
4.5,5.6,2,154,3,0,1,0,mercadotecnia,bajo
3.7,5.2,2,143,3,0,1,0,mercadotecnia,bajo
4,5.2,2,155,3,0,1,0,mercadotecnia,bajo
3.9,4.8,2,160,3,0,1,0,ventas,bajo
1.1,8,6,304,4,0,1,0,contabilidad,bajo
8.3,10,5,240,5,0,1,0,soporte,bajo
1.1,9.2,6,305,4,0,1,0,mantenimiento,bajo
3.9,5,2,136,3,0,1,0,administración,bajo
4.5,4.5,2,132,3,0,1,0,mercadotecnia,bajo
1,9.5,7,301,4,0,1,0,mercadotecnia,bajo
9,9.8,5,243,6,0,1,0,mercadotecnia,bajo
4.5,5.1,2,147,3,0,1,0,ventas,bajo
7.9,8.9,5,239,5,0,1,0,ventas,bajo
9,9.9,5,260,5,0,1,0,ventas,bajo
1.1,8.4,7,296,4,0,1,0,ventas,bajo
4.3,5.5,2,129,3,0,1,0,ventas,bajo
3.1,5.4,5,132,5,0,1,0,ventas,bajo
3.2,5,2,135,5,0,1,0,ventas,bajo
4.5,5.7,2,158,3,0,1,0,ventas,bajo
8.1,9.9,4,259,5,0,1,0,ventas,bajo
4.1,4.6,2,160,3,0,1,1,ventas,bajo
1.1,7.8,7,278,4,0,1,0,ventas,bajo
1,8.8,6,284,4,0,1,0,ventas,bajo
7,5.3,2,274,4,0,1,0,ventas,bajo
5.4,7.4,4,164,2,0,1,0,ventas,bajo
4.1,4.8,2,148,3,0,1,0,ventas,bajo
3.8,5,2,140,3,0,1,0,ventas,medio
3.7,5.1,2,127,3,0,1,0,ventas,medio
1.1,8.5,6,308,5,0,1,0,ventas,medio
4,4.7,2,146,3,0,1,0,ventas,medio
1,8.4,6,261,4,0,1,0,contabilidad,medio
8.9,9.9,5,257,5,0,1,0,contabilidad,medio
1.1,8,6,285,4,0,1,0,contabilidad,medio
3.6,5.5,2,141,3,0,1,0,recursos humanos,medio
4,4.6,2,127,3,0,1,0,recursos humanos,medio
0.9,8.5,6,297,4,0,1,0,recursos humanos,medio
4,4.6,2,143,3,0,1,0,recursos humanos,medio
3.7,5.5,2,152,3,0,1,0,mantenimiento,medio
4.4,5.1,2,156,3,0,1,0,mantenimiento,alto
0.9,8,7,283,5,0,1,0,mantenimiento,bajo
9.2,8.7,4,226,6,1,1,0,mantenimiento,medio
7.4,9.1,4,232,5,0,1,0,mantenimiento,medio
0.9,8.2,6,249,4,0,1,0,mantenimiento,medio
8.9,9.5,4,275,5,0,1,0,mantenimiento,medio
0.9,8,6,304,4,0,1,0,mantenimiento,bajo
2.7,5.4,7,278,3,0,1,0,mantenimiento,bajo
1,9.1,6,287,4,0,1,0,mantenimiento,bajo
1,8.9,7,285,4,0,1,0,mantenimiento,bajo
7.7,9.4,5,226,6,0,1,0,soporte,bajo
9,8.2,5,259,5,0,1,0,soporte,bajo
3.9,5,2,135,3,0,1,0,soporte,bajo
7.6,10,5,219,5,0,1,0,soporte,bajo
1,9.3,6,256,4,0,1,0,soporte,bajo
8.7,9,5,254,6,0,1,0,soporte,bajo
3.8,5,2,153,3,0,1,0,soporte,bajo
7.7,9.9,5,228,5,0,1,0,soporte,bajo
7.8,8.7,4,228,5,0,1,0,soporte,bajo
4.4,5,2,128,3,0,1,0,soporte,bajo
3.8,5.2,2,153,3,0,1,0,soporte,bajo
4.3,4.6,2,156,3,0,1,0,mantenimiento,bajo
3.9,5,4,294,3,0,1,0,mantenimiento,bajo
8.8,10,5,219,5,0,1,0,mantenimiento,bajo
4.5,4.6,2,153,3,0,1,0,administración,bajo
4,5.3,2,151,3,0,1,0,informática,bajo
3.6,5.1,2,155,3,0,1,0,informática,bajo
3.6,4.8,2,158,3,0,1,0,informática,bajo
9,9.8,5,245,5,0,1,0,informática,bajo
4.3,5.3,2,131,3,0,1,0,informática,bajo
8.9,8.7,5,225,5,0,1,0,desarrollo de producto,bajo
1,8.4,6,286,4,0,1,0,desarrollo de producto,bajo
3.7,5,2,135,3,0,1,0,desarrollo de producto,bajo
3.7,5.1,2,153,3,0,1,0,desarrollo de producto,bajo
8.7,9,5,252,5,0,1,0,informática,bajo
4,5.6,2,149,3,0,1,0,contabilidad,bajo
9,9.7,4,258,5,0,1,0,contabilidad,bajo
3.7,4.6,2,158,3,0,1,0,recursos humanos,bajo
4.4,5.4,2,149,3,0,1,0,recursos humanos,bajo
8.5,9.5,5,236,5,0,1,0,recursos humanos,bajo
7.8,9.8,5,239,6,0,1,0,mercadotecnia,bajo
4.2,4.7,2,159,3,0,1,0,mercadotecnia,bajo
9.2,9.9,5,255,6,0,1,0,ventas,bajo
1.1,8.3,6,244,4,0,1,0,contabilidad,bajo
4.2,5.6,2,134,3,0,1,0,soporte,bajo
4.8,5.7,4,270,4,0,1,0,mantenimiento,bajo
8.3,8.5,4,255,5,0,1,0,administración,bajo
4,5.3,2,151,3,0,1,0,mercadotecnia,bajo
4.3,4.5,2,135,3,0,1,0,mercadotecnia,bajo
4.3,5.3,2,146,3,0,1,0,mercadotecnia,bajo
1,9.7,7,254,4,0,1,0,ventas,bajo
1,8.7,7,289,4,0,1,0,ventas,bajo
3.7,4.6,2,156,3,0,1,0,ventas,bajo
3.8,5.3,2,156,3,0,1,0,ventas,bajo
4,5,2,128,3,0,1,0,ventas,bajo
8.9,8.6,5,275,5,0,1,0,ventas,bajo
4.5,4.6,2,155,3,0,1,0,ventas,bajo
3.7,4.8,2,159,3,0,1,0,ventas,bajo
4.6,4.9,2,148,3,0,1,0,ventas,bajo
8.7,9.1,4,228,5,0,1,0,ventas,bajo
1.1,8.4,6,298,4,0,1,0,ventas,bajo
7.9,8.7,5,261,5,0,1,0,ventas,bajo
7.9,9.2,5,254,6,0,1,0,ventas,bajo
1.9,5.9,7,192,3,0,1,0,ventas,bajo
8.7,9.8,4,248,5,0,1,0,ventas,bajo
6,9.2,2,258,5,0,1,0,ventas,bajo
4.4,4.5,2,156,3,0,1,0,ventas,medio
1.1,8.1,6,266,4,1,1,0,ventas,medio
4.2,5.4,2,156,3,0,1,0,ventas,medio
8.8,8.8,5,232,5,1,1,0,contabilidad,medio
1.1,8.4,6,287,4,0,1,0,contabilidad,medio
4.6,4.6,2,154,3,0,1,0,contabilidad,medio
8.2,9.7,5,263,5,0,1,0,recursos humanos,medio
4.4,5.6,2,131,3,0,1,0,recursos humanos,medio
1.1,7.8,6,260,4,0,1,0,recursos humanos,medio
4.2,5,2,139,3,0,1,0,recursos humanos,medio
8.4,9.3,4,251,5,0,1,0,mantenimiento,medio
1.1,9.5,6,286,4,0,1,0,mantenimiento,medio
4.5,5.3,2,129,3,0,1,0,mantenimiento,alto
3.8,5.6,2,156,3,0,1,0,mantenimiento,bajo
3.8,8.6,6,139,6,0,1,0,mantenimiento,medio
4.4,5.1,2,127,3,0,1,0,mantenimiento,medio
1.1,8.4,6,251,4,0,1,0,mantenimiento,medio
8.1,9.3,5,270,5,0,1,0,mantenimiento,medio
0.9,9.6,6,296,4,0,1,0,mantenimiento,bajo
1.1,9,6,254,4,0,1,0,mantenimiento,bajo
8.1,9.5,5,238,6,0,1,0,mantenimiento,bajo
1,9.7,6,267,4,1,1,0,soporte,bajo
7.4,8.9,5,229,6,0,1,0,soporte,bajo
0.9,7.8,6,254,4,0,1,0,soporte,bajo
8.2,8.1,4,233,4,1,1,0,soporte,bajo
1,9.8,6,268,4,0,1,0,soporte,bajo
2.7,5.6,3,301,3,0,1,0,soporte,bajo
8.3,9.2,5,267,6,0,1,0,soporte,bajo
1,9.3,6,289,4,1,1,0,soporte,bajo
3.8,4.7,2,144,3,0,1,0,soporte,bajo
4,5.6,2,148,3,0,1,0,soporte,bajo
1.1,8.3,6,306,4,0,1,0,soporte,bajo
1.1,7.9,6,292,4,0,1,1,mantenimiento,bajo
8.2,9.1,5,232,5,0,1,0,mantenimiento,bajo
3.6,4.8,2,137,3,0,1,0,mantenimiento,bajo
4,4.6,2,128,3,0,1,0,administración,bajo
8.7,8.4,5,231,5,0,1,0,informática,bajo
4.1,4.9,2,146,3,0,1,0,informática,bajo
1.1,9.1,6,308,4,1,1,0,informática,bajo
1,9.3,6,253,4,0,1,0,informática,medio
3.8,5.1,2,146,3,0,1,0,informática,medio
3.9,5.5,2,156,3,0,1,0,desarrollo de producto,medio
4,5.2,2,147,3,0,1,0,desarrollo de producto,medio
4.5,4.8,2,136,3,0,1,0,desarrollo de producto,medio
7.4,8.4,5,249,5,0,1,0,desarrollo de producto,medio
4.5,5.5,2,151,3,0,1,0,informática,medio
1.2,10,3,278,4,0,1,0,Investigación,medio
1,7.7,7,250,5,0,1,0,Investigación,medio
3.7,5.5,2,127,3,0,1,0,Investigación,medio
8.9,8.7,5,255,5,0,1,0,Investigación,medio
4.5,4.7,2,135,3,0,1,0,Investigación,medio
3.7,4.6,2,149,3,0,1,0,mercadotecnia,alto
1.1,8.1,5,287,4,0,1,0,ventas,bajo
4.1,4.8,2,145,3,0,1,0,contabilidad,medio
1,9.4,6,285,4,0,1,0,soporte,medio
1,9.3,7,305,4,0,1,0,mantenimiento,medio
1.1,9.5,7,300,4,0,1,0,administración,medio
4,5.4,2,139,3,0,1,0,mercadotecnia,bajo
4.1,4.9,2,130,3,0,1,0,mercadotecnia,bajo
1,8.1,6,268,4,0,1,0,mercadotecnia,bajo
7.3,8.6,4,245,6,0,1,0,ventas,bajo
4.3,4.7,2,135,3,0,1,0,ventas,bajo
3.7,4.6,2,153,3,0,1,0,ventas,bajo
1.1,9.4,6,276,4,0,1,0,ventas,bajo
4,4.6,2,130,3,0,1,0,ventas,bajo
4.1,5.4,2,153,3,1,1,0,ventas,bajo
8.2,8.4,5,244,5,0,1,0,ventas,bajo
6.1,4.7,2,253,3,0,1,0,ventas,bajo
1.1,9.1,7,287,4,0,1,0,ventas,bajo
3.7,4.5,2,131,3,0,1,0,ventas,bajo
4.1,5.2,2,135,3,0,1,0,ventas,bajo
3.7,5.2,2,157,3,0,1,0,ventas,bajo
8.8,9.9,5,262,6,0,1,0,ventas,bajo
1,8.5,6,266,4,0,1,0,ventas,bajo
4.4,4.8,2,148,3,0,1,0,ventas,bajo
3.8,5.7,2,140,3,0,1,0,ventas,bajo
1.1,8.5,7,302,4,0,1,0,ventas,bajo
0.9,9.8,6,271,4,0,1,0,ventas,bajo
4.5,5.2,2,145,3,0,1,0,ventas,medio
1,8.1,6,290,4,0,1,0,contabilidad,medio
4.5,4.7,2,151,3,0,1,0,contabilidad,medio
7.7,8.7,5,266,5,0,1,0,contabilidad,medio
4.4,5.1,2,140,3,0,1,0,recursos humanos,medio
3.9,5,2,142,3,0,1,0,recursos humanos,medio
1,9.1,6,246,4,0,1,0,recursos humanos,medio
0.9,8.9,7,308,5,0,1,0,recursos humanos,medio
3.7,4.7,2,141,3,0,1,0,mantenimiento,medio
9,10,5,232,5,0,1,0,mantenimiento,medio
4.1,5.6,2,143,3,0,1,0,mantenimiento,medio
3.7,5.2,2,155,3,0,1,0,mantenimiento,medio
1,8.6,6,278,4,0,1,0,mantenimiento,alto
8.1,10,4,253,5,0,1,0,mantenimiento,bajo
1.1,8,6,282,4,0,1,0,mantenimiento,medio
1.1,8.4,7,264,4,0,1,0,mantenimiento,medio
4,4.6,2,149,3,0,1,0,mantenimiento,medio
0.9,8,6,304,5,0,1,0,mantenimiento,medio
4.8,9.3,3,219,6,0,1,0,mantenimiento,bajo
9.1,9.1,4,262,6,0,1,0,soporte,bajo
4.3,5.7,2,135,3,0,1,0,soporte,bajo
3.3,8.8,6,219,5,0,1,0,soporte,bajo
4.1,5.7,2,136,3,0,1,0,soporte,bajo
4.1,5.5,2,154,3,0,1,0,soporte,bajo
3.7,5.4,2,149,3,0,1,0,soporte,bajo
3.1,6.2,6,135,5,0,1,0,soporte,bajo
0.9,9.1,6,275,4,0,1,0,soporte,bajo
1,8.7,6,290,4,0,1,0,soporte,bajo
7.6,9,4,263,5,0,1,0,soporte,bajo
4.1,5.4,2,145,3,0,1,0,soporte,bajo
7.2,9.6,5,267,5,0,1,0,mantenimiento,bajo
4,5,2,141,3,1,1,0,mantenimiento,bajo
9.1,8.7,4,235,5,0,1,0,mantenimiento,bajo
1,8.3,6,258,4,0,1,0,administración,bajo
4,5.6,2,131,3,0,1,0,informática,bajo
8.2,8.6,5,243,5,0,1,0,informática,bajo
1,8.2,6,266,4,0,1,0,informática,bajo
3.7,4.5,2,142,3,0,1,0,informática,bajo
3.6,5.1,2,135,3,0,1,0,informática,bajo
3.9,4.8,2,141,3,0,1,0,desarrollo de producto,medio
3.6,5.7,2,142,3,0,1,0,desarrollo de producto,medio
8.6,8.4,5,254,5,0,1,0,desarrollo de producto,medio
7.3,9.9,5,262,5,0,1,0,desarrollo de producto,medio
5.6,7.1,4,296,2,0,1,0,informática,medio
4.4,5.6,2,158,3,0,1,0,contabilidad,medio
3.1,5.6,4,238,2,0,1,0,contabilidad,medio
7.7,9.3,4,231,5,0,1,0,recursos humanos,medio
4.4,4.5,2,156,3,0,1,0,recursos humanos,medio
3.8,4.6,2,145,3,0,1,0,recursos humanos,medio
4.5,4.8,2,144,3,0,1,0,mercadotecnia,medio
3.8,5.1,2,159,3,0,1,0,ventas,medio
3.6,4.8,2,156,3,0,1,0,contabilidad,alto
7.5,9,5,256,5,0,1,0,soporte,bajo
1,9.3,6,298,4,0,1,0,mantenimiento,medio
1,9.7,6,247,4,0,1,0,administración,medio
4.5,5,2,157,3,0,1,0,mercadotecnia,medio
4.2,5.7,2,154,3,1,1,0,mercadotecnia,medio
7.8,10,4,253,5,0,1,0,mercadotecnia,bajo
4.5,5.5,2,148,3,0,1,0,ventas,bajo
8.4,10,4,261,5,0,1,0,ventas,bajo
1.1,9.3,6,282,4,0,1,0,ventas,bajo
4.2,5.6,2,133,3,0,1,0,ventas,bajo
4.5,4.6,2,128,3,0,1,0,ventas,bajo
4.6,5.7,2,139,3,0,1,0,ventas,bajo
0.9,7.9,6,293,5,0,1,0,ventas,bajo
8.7,8.3,4,265,6,0,1,0,ventas,bajo
1,8.7,6,250,4,0,1,0,ventas,bajo
9.1,10,5,251,6,0,1,0,ventas,bajo
7.6,9.2,4,246,5,0,1,0,ventas,bajo
7.4,10,5,275,5,0,1,0,ventas,bajo
9.2,9.3,5,240,5,0,1,0,ventas,bajo
7.6,8.7,5,245,5,0,1,0,ventas,bajo
4.7,5,4,254,4,0,1,0,ventas,bajo
7.3,9.9,5,241,5,0,1,0,ventas,bajo
0.9,9.4,6,257,4,0,1,0,ventas,bajo
9.1,9.2,4,246,5,0,1,0,ventas,bajo
8.2,9.8,4,233,5,0,1,0,ventas,bajo
2.8,4.5,6,218,4,0,1,0,contabilidad,bajo
8.4,9.9,4,262,6,0,1,0,contabilidad,medio
4.5,5.3,2,138,3,0,1,0,contabilidad,medio
4.5,5.4,2,142,3,0,1,0,recursos humanos,medio
9.1,9.7,5,233,5,0,1,0,recursos humanos,medio
4.2,4.8,2,155,3,0,1,0,recursos humanos,medio
8.2,10,4,229,6,0,1,0,recursos humanos,medio
1.1,9,6,264,4,0,1,0,mantenimiento,medio
4.2,5.3,3,199,4,0,1,0,mantenimiento,medio
8.2,8.5,4,223,5,0,1,0,mantenimiento,medio
0.9,9.6,6,268,4,0,1,0,mantenimiento,medio
1,9.4,6,287,4,0,1,0,mantenimiento,medio
8.6,10,5,257,5,0,1,0,mantenimiento,medio
4,4.6,2,143,3,0,1,0,mantenimiento,alto
4.5,4.6,2,130,3,0,1,0,mantenimiento,bajo
4.2,5.1,2,136,3,0,1,0,mantenimiento,medio
7.4,9.2,4,261,5,0,1,0,mantenimiento,medio
5.5,6,3,180,4,0,1,0,mantenimiento,medio
3.7,4.5,2,126,3,0,1,0,soporte,medio
4.1,5.2,2,127,3,1,1,0,soporte,bajo
8.9,6.5,5,195,6,0,1,0,soporte,bajo
4.1,5.7,2,160,3,0,1,0,soporte,bajo
4.4,5.1,2,150,3,0,1,0,soporte,bajo
8.7,8.4,4,264,6,0,1,0,soporte,bajo
1,8.4,6,309,4,0,1,0,soporte,bajo
4.1,4.7,2,135,3,0,1,0,soporte,bajo
1.1,8.5,6,261,4,0,1,0,soporte,bajo
4.3,5.3,2,160,3,0,1,0,soporte,bajo
7.7,9,4,237,5,0,1,0,soporte,bajo
4.1,5.2,2,136,3,0,1,0,mantenimiento,bajo
4.1,4.8,2,139,3,0,1,0,mantenimiento,bajo
3.6,7.8,2,151,4,0,1,0,mantenimiento,bajo
7.7,10,5,229,5,0,1,0,administración,bajo
8.1,9.8,5,245,5,0,1,0,informática,bajo
3.9,5.4,2,127,3,0,1,0,informática,bajo
0.9,9.4,6,283,5,0,1,0,informática,bajo
4.4,4.6,2,143,3,0,1,0,informática,bajo
1,8.4,5,298,4,0,1,0,informática,bajo
3.6,4.8,2,159,3,0,1,0,desarrollo de producto,bajo
8.1,9.2,5,239,5,0,1,0,desarrollo de producto,bajo
8.1,9,4,226,5,0,1,0,desarrollo de producto,medio
8.5,9.8,5,248,5,0,1,0,desarrollo de producto,medio
1,8.7,6,286,4,0,1,0,informática,medio
3.7,5.4,2,145,3,0,1,0,Investigación,medio
0.9,9.7,7,254,4,1,1,0,Investigación,medio
4.4,5.3,2,127,3,0,1,0,Investigación,medio
8.6,9.3,5,223,5,0,1,0,Investigación,medio
7.7,10,4,255,5,0,1,0,Investigación,medio
4.1,4.8,2,136,3,0,1,0,mercadotecnia,medio
4,4.8,2,137,3,0,1,0,ventas,medio
4.3,4.9,2,135,3,0,1,0,contabilidad,medio
4.3,5,2,137,3,0,1,0,soporte,medio
8,5.3,3,255,5,0,1,0,mantenimiento,alto
8,8.5,4,273,5,0,1,0,administración,bajo
8.2,9.8,5,234,5,0,1,0,mercadotecnia,medio
3.7,5.4,2,152,3,0,1,0,mercadotecnia,medio
3.7,4.8,2,134,3,0,1,0,mercadotecnia,medio
0.9,9.5,6,292,4,0,1,0,ventas,medio
9,9.2,5,245,5,0,1,0,ventas,bajo
4.1,5.2,2,159,3,0,1,0,ventas,bajo
1,8.5,6,260,4,0,1,0,ventas,bajo
4.4,5.3,2,149,3,0,1,0,ventas,bajo
8.9,8.5,5,266,5,0,1,0,ventas,bajo
4.2,5.6,2,149,3,0,1,0,ventas,bajo
8.7,10,5,242,5,0,1,0,ventas,bajo
4.5,5.7,2,134,3,0,1,0,ventas,bajo
1.1,8.7,5,271,4,0,1,0,ventas,bajo
0.9,7.9,6,275,4,0,1,0,ventas,bajo
7.6,8.3,5,227,5,0,1,0,ventas,bajo
1.1,9.6,7,277,5,0,1,0,ventas,bajo
3.7,4.9,2,151,3,0,1,0,ventas,bajo
1,7.9,6,274,4,0,1,0,ventas,bajo
7.7,8.7,4,242,6,0,1,0,ventas,bajo
4.2,5.4,2,143,3,1,1,0,ventas,bajo
3.8,5.2,2,145,3,0,1,0,ventas,bajo
3.2,9.5,5,172,2,0,1,0,ventas,bajo
3.8,4.9,2,135,3,0,1,0,contabilidad,bajo
1.9,10,4,192,4,0,1,0,contabilidad,bajo
1,8.3,7,276,4,0,1,0,contabilidad,bajo
7.6,8.8,4,206,4,0,1,0,recursos humanos,medio
